Time,Flux
2061.3263391197906,18021.912
2061.346771334909,18142.256
2061.367203449103,18165.838
2061.387635763298,18080.115
2061.408067976561,18114.113
2061.4285002898177,18313.217
2061.4693646144733,17918.695
2061.4897969258745,17821.697
2061.5102290372743,17766.709
2061.5306612477434,17696.408
2061.551093558206,17694.9
2061.5715257682095,17485.04
2061.5919578772737,17862.908
2061.6123901863466,17584.266
2061.6328223944874,17560.373
2061.6532545026275,17633.95
2061.6736868098305,17766.648
2061.69411901704,17817.943
2061.714551223311,18011.225
2061.734983429589,18247.516
2061.7554156354017,18297.643
2061.7758478402757,18155.156
2061.796280045157,18179.496
2061.816712249107,17742.965
2061.8371444530494,17981.467
2061.8575766565336,17913.072
2061.878008759086,17893.016
2061.898441061632,18065.31
2061.9188732637194,17950.45
2061.9393054648754,17784.791
2061.959737666024,17843.67
2061.9801698667143,17910.3
2062.000602166474,17854.885
2062.021034266225,17979.766
2062.041466465518,18358.354
2062.061898763881,18352.83
2062.082330862235,18241.676
2062.102763060131,18223.71
2062.123195357097,18236.734
2062.1436275540545,18269.227
2062.164059650553,18418.469
2062.2049241421482,18688.096
2062.225356236784,19613.87
2062.2457885314216,19325.21
2062.2662207255853,19210.121
2062.28665281929,19354.701
2062.3070851125303,19561.465
2062.3275173048314,19365.053
2062.3479495971405,18986.88
2062.3683816889825,18882.41
2062.3888138803522,19033.838
2062.4092461712644,19191.5
2062.4296782617093,19141.621
2062.450110451682,18829.645
2062.4705426411965,19050.031
2062.4909748302452,19175.846
2062.511407018821,19806.742
2062.5318392069385,19312.742
2062.55227139459,19144.35
2062.572703581769,18962.887
2062.5931357684894,18947.654
2062.613567954744,18662.318
2062.634000140526,18584.168
2062.6544324258502,18581.17
2062.674864511173,18716.375
2062.6952967955585,19021.371
2062.715728979485,18792.496
2062.736161062945,18680.252
2062.7565933459337,18505.732
2062.777025528929,18586.348
2062.797457610992,18809.607
2062.8178898925835,18567.986
2062.838322073716,18326.572
2062.8587541548477,18084.795
2062.8791864350424,17976.879
2062.8996186152435,17851.432
2062.9200506945126,17800.967
2062.9404829733103,17680.064
2062.9609151521145,17568.498
2062.9813473299873,18068.316
2063.001779507853,17879.408
