Time,Flux
2061.3258471435183,26735.607
2061.34627921661,26681.549
2061.366711188777,26461.902
2061.3871433609456,27291.422
2061.4075754326477,28256.584
2061.428007603412,29322.938
2061.46887164448,33154.08
2061.4893038147857,32198.963
2061.5097357841587,32455.219
2061.530167853067,31758.857
2061.5506000219684,30798.898
2061.571032090411,30226.104
2061.591464057914,30442.44
2061.611896225426,30801.596
2061.6323282924714,31015.305
2061.652760259516,31227.732
2061.6731924256237,31696.38
2061.693624491272,30959.508
2061.7140565569134,31481.05
2061.7344886216306,31368.398
2061.7549206863478,31911.457
2061.775352750592,31278.867
2061.795784814378,32954.45
2061.816216877698,32129.973
2061.8366489405453,30878.197
2061.8570810034,30033.201
2061.8775129653222,30249.47
2061.897945127239,31244.6
2061.9183771886965,31652.445
2061.9388092496883,31665.627
2061.9592413102073,31823.625
2061.979673370268,31401.629
2062.0001055298635,32277.914
2062.0205374894504,32174.44
2062.040969548114,32796.895
2062.0614017067783,32676.71
2062.0818336645025,32116.674
2062.1022657222347,30858.012
2062.122697879502,30209.484
2062.1431299367614,29683.709
2062.163561893096,29642.37
2062.2044261048286,28886.69
2062.224858060232,28544.654
2062.245290214705,27922.803
2062.2657222691705,27645.55
2062.2861542231767,27071.342
2062.3065863771844,27157.764
2062.327018430253,26901.568
2062.347450583329,26976.861
2062.3678825354727,27488.416
2062.38831458761,27921.621
2062.408746739289,27714.254
2062.4291786905014,27243.965
2062.4496107412415,27130.957
2062.470042791523,27397.549
2062.490474841805,28003.168
2062.510906891148,28061.914
2062.5313389404982,27931.19
2062.551770989383,27796.887
2062.5722030377947,27946.059
2062.592635085748,27884.771
2062.6130671332357,26915.69
2062.633499180716,26313.055
2062.6539313272733,25782.85
2062.674363273829,25817.096
2062.694795419913,25895.918
2062.7152274650725,26211.525
2062.735659410697,26111.016
2062.756091555384,26938.719
2062.776523599612,28514.34
2062.7969555438394,29063.59
2062.8173876871297,29933.951
2062.8378197304264,29938.77
2062.8582516732567,29821.887
2062.8786838156157,29721.533
2062.8991158575154,29955.373
2062.9195477994144,30029.627
2062.9399799403764,30346.533
2062.960411981345,30218.945
2062.9808440218476,30699.695
2063.0012760614118,30766.314
2063.021708101449,30761.53
2063.0421401405474,31325.912
2063.0625721791876,31336.316
2063.0830042178277,31704.2
2063.10343635553,31654.346
2063.123868393239,32179.834
2063.144300330481,31599.793
2063.164732467252,32133.229
2063.185164503564,31831.477
2063.205596439875,32397.66
2063.226028575249,31479.58
2063.246460510629,31572.707
2063.2668925455437,31594.912
2063.2873246799863,31356.877
2063.307756613969,31400.238
2063.328188647487,31970.848
2063.3486207809983,31528.146
2063.369052713584,31856.295
2063.3894847461706,31933.39
2063.409916878285,33134.348
2063.4303488099395,32749.896
2063.450780841129,31640.43
2063.4712129718464,30419.277
2063.4916450025703,30393.408
2063.5120770328285,29849.727
2063.532509062148,30498.451
2063.552941091475,30945.096
2063.5733731203363,31686.674
2063.5938051491903,31531.037
2063.6142371771202,31148.23
2063.6346693050436,31715.102
2063.67553325904,30929.062
2063.695965385574,33865.92
2063.716397311633,33915.652
