Time,Flux,Flux_Err,Filt,mod_flux
2062.9608447916253,357.0473,10.21706,True,357.04730224609375
2062.9812769466807,306.4737,10.209446,True,306.47369384765625
2063.001709101729,248.8912,10.2087,True,248.89120483398438
2063.0221412563187,108.51067,10.205165,True,108.51067352294922
2063.0425734104356,121.901764,10.203852,True,121.90176391601562
2063.063005564094,85.10618,10.203959,True,85.1061782836914
2063.083437717287,101.87444,10.203461,True,101.87444305419922
2063.1038699700075,46.991,10.204483,True,46.99100112915039
2063.1243021227347,82.04027,10.204928,True,82.04026794433594
2063.1447341745297,74.518326,10.206285,True,74.51832580566406
2063.1651664258534,120.84607,10.206222,True,120.8460693359375
2063.185598576718,157.27924,10.206544,True,157.27923583984375
2063.2060306275816,180.81296,10.20746,True,180.81295776367188
2063.2264628775083,237.4094,10.209564,True,237.40939331054688
2063.246894926975,315.69608,10.210508,True,315.6960754394531
2063.2673270764426,336.0083,10.210991,True,336.00830078125
2063.2877593249723,348.29456,10.213379,True,348.2945556640625
2066.2912808381006,381.23288,10.226218,True,381.2328796386719
2066.311712922834,332.8518,10.223914,True,332.851806640625
2066.3321451071097,309.24973,10.223329,True,309.2497253417969
2066.3730091742545,242.94833,10.220958,True,242.94833374023438
2066.3934413571333,251.86035,10.222222,True,251.8603515625
2066.413873339545,243.1232,10.222161,True,243.12319946289062
2066.434305421484,329.17358,10.223748,True,329.173583984375
2066.4547376034316,354.0105,10.22359,True,354.010498046875
2066.475169584446,320.6544,10.22302,True,320.6543884277344
2066.495601665454,325.96475,10.223645,True,325.9647521972656
2066.5160338460046,355.07797,10.223573,True,355.0779724121094
2066.536465825622,360.8661,10.223898,True,360.8660888671875
2066.556898005234,324.25162,10.223754,True,324.2516174316406
2066.5773300843866,184.33089,10.220941,True,184.3308868408203
2066.597762063073,271.56183,10.222411,True,271.56182861328125
2066.6181942417534,249.44063,10.221832,True,249.4406280517578
2066.638626319509,293.81265,10.221777,True,293.8126525878906
2066.659058396799,304.91388,10.222639,True,304.91387939453125
2066.679490474082,264.24252,10.221925,True,264.2425231933594
2066.6999225504405,301.8284,10.222311,True,301.8283996582031
2066.7203546267992,277.4993,10.224155,True,277.4992980957031
2066.740786702685,232.88597,10.221522,True,232.88597106933594
2066.7612187781124,268.12125,10.222377,True,268.1212463378906
2066.781650853074,355.3234,10.223929,True,355.3233947753906
2066.8020830275636,233.51569,10.222423,True,233.51568603515625
2066.8225150015933,320.39276,10.223789,True,320.39276123046875
2066.8633791487155,334.58362,10.225162,True,334.5836181640625
2066.883811221349,345.0404,10.225125,True,345.0404052734375
2066.9042432939823,259.87,10.223687,True,259.8699951171875
2066.9246754661435,252.17181,10.222562,True,252.17181396484375
2066.945107437845,307.92743,10.22413,True,307.92742919921875
2066.9655394090805,247.71323,10.223929,True,247.71322631835938
2066.9859715798448,258.23654,10.223926,True,258.2365417480469
2067.00640365015,206.2246,10.222623,True,206.22459411621094
2067.026835819983,235.91411,10.223946,True,235.9141082763672
2067.047267789356,144.34819,10.221489,True,144.3481903076172
2067.0676998587296,195.45793,10.220999,True,195.4579315185547
2067.088132027173,248.25253,10.222004,True,248.25253295898438
2067.1085639956073,173.32832,10.2215605,True,173.3283233642578
2067.128996063584,126.191925,10.2206335,True,126.19192504882812
2067.1494282310887,136.76587,10.219712,True,136.765869140625
2067.169860298134,174.35654,10.220491,True,174.35653686523438
2067.190292264713,166.02196,10.22027,True,166.02195739746094
2067.210724430828,127.41145,10.2196455,True,127.41145324707031
2067.2311564964693,98.56627,10.218951,True,98.56626892089844
2067.251588462117,163.31496,10.219735,True,163.31495666503906
2067.2720206268277,181.85196,10.219035,True,181.85195922851562
2067.292452691545,50.877953,10.218631,True,50.877952575683594
2067.3128846557956,137.47409,10.219509,True,137.47409057617188
2067.353748882895,188.00737,10.2212105,True,188.0073699951172
2067.374180845749,174.51982,10.220848,True,174.5198211669922
2067.3946130081313,180.11917,10.222003,True,180.11917114257812
2067.4150450700545,97.11637,10.221273,True,97.11637115478516
2067.435477031977,164.2589,10.2209835,True,164.25889587402344
2067.4559091929696,111.27568,10.220249,True,111.27568054199219
2067.476341253954,68.78008,10.219915,True,68.78008270263672
2067.496773414481,104.59061,10.219876,True,104.59060668945312
2067.5172053745337,88.96628,10.219629,True,88.96627807617188
2067.5376374341286,86.132095,10.220122,True,86.13209533691406
2067.5580695932586,150.11578,10.219692,True,150.11578369140625
2067.5785015519214,37.400036,10.219638,True,37.4000358581543
2067.598933610112,57.575726,10.218662,True,57.57572555541992
2067.61936566831,99.83891,10.219081,True,99.83891296386719
2067.660229782836,70.21059,10.218454,True,70.21058654785156
2067.7010938959647,71.105576,10.218077,True,71.10557556152344
2067.7215259518343,35.017445,10.217837,True,35.0174446105957
2067.741958107239,31.457657,10.216879,True,31.457656860351562
2067.8032542711153,11.139797,10.217726,True,11.13979721069336
2067.9054145360133,5.8076973,10.217181,True,5.807697296142578
2067.9258465881576,9.711128,10.218801,True,9.711128234863281
2067.9462785393625,48.926342,10.218303,True,48.92634201049805
2068.1505992305174,17.731518,10.217444,True,17.731517791748047
2069.2743613084385,35.366947,10.223372,True,35.366947174072266
2069.519545578376,0.21490479,10.2256,True,0.21490478515625
2069.621705774247,24.98885,10.229225,True,24.988849639892578
2069.64213769239,22.968227,10.22782,True,22.96822738647461
2069.703433743576,29.404896,10.2276,True,29.404895782470703
2069.7647297915028,71.194016,10.227602,True,71.19401550292969
2069.7851619068606,63.39275,10.231137,True,63.39274978637695
2069.805593921752,212.9231,10.234053,True,212.923095703125
