,ID,M,P,Q
76,203895983,0.077,2.451,0.74
99,203934728,-0.149,5.814,0.738
247,205179845,0.024,2.6039999999999996,0.737
246,205165965,-0.494,1.7990000000000002,0.7340000000000001
202,204811478,0.584,1.7009999999999998,0.732
286,205086621,0.71,1.7480000000000002,0.731
153,204344180,0.29,1.825,0.73
15,203542463,0.43799999999999994,1.5630000000000002,0.7170000000000001
131,204181799,-0.187,2.2119999999999997,0.7170000000000001
280,203917608,0.091,2.577,0.713
75,203895738,-0.155,1.359,0.71
250,205208701,-0.028999999999999998,0.9059999999999999,0.7090000000000001
141,204250417,-0.192,1.344,0.705
59,203856244,0.29,4.032,0.7040000000000001
269,205684783,0.17300000000000001,3.2889999999999997,0.7040000000000001
122,204078097,-0.307,1.412,0.6920000000000001
259,205383125,0.466,2.033,0.688
234,205092303,0.29600000000000004,1.724,0.68
232,205080616,0.214,5.319,0.679
267,204408707,0.355,3.2889999999999997,0.6779999999999999
158,204372172,-0.13699999999999998,1.969,0.677
187,204578601,-0.005,1.712,0.6759999999999999
61,203862309,0.379,4.31,0.67
155,204347824,0.204,1.5819999999999999,0.665
101,203936815,0.7929999999999999,8.929,0.662
69,203881373,0.131,0.275,0.6609999999999999
54,203850058,0.03,2.8739999999999997,0.657
200,204807722,0.643,2.174,0.6509999999999999
169,204435866,-0.198,1.3969999999999998,0.65
156,204360645,-0.07400000000000001,1.8940000000000001,0.622
157,204365840,0.073,1.9380000000000002,0.616
151,204329690,0.304,2.155,0.613
221,204982702,0.345,2.404,0.609
110,203954898,-1.348,20.833000000000002,0.609
78,203899786,-0.83,5.952000000000001,0.608
174,204467584,0.62,2.066,0.607
124,204108293,0.065,1.214,0.606
283,204094503,-0.21,1.656,0.603
70,203881640,0.05,2.404,0.598
44,203824153,0.318,11.905,0.593
161,204397408,-0.684,1.645,0.593
238,205151387,0.87,10.0,0.59
105,203941868,-0.055,2.049,0.589
126,204137184,1.2429999999999999,2.6319999999999997,0.5820000000000001
287,205091879,-0.11599999999999999,0.365,0.579
1,202876718,0.086,1.953,0.578
127,204142243,0.297,6.944,0.5760000000000001
120,203987773,0.09,6.41,0.573
65,203870022,-0.245,12.5,0.57
145,204274743,0.45799999999999996,1.7730000000000001,0.5670000000000001
252,205238942,0.23199999999999998,9.259,0.5660000000000001
41,203810851,0.076,4.237,0.565
278,203893891,-0.434,3.968,0.565
43,203822946,-0.11599999999999999,0.685,0.564
39,203801323,0.122,1.256,0.5539999999999999
20,203690414,0.111,1.8119999999999998,0.551
37,203794605,-0.251,4.4639999999999995,0.551
275,204449389,0.32,1.8659999999999999,0.5479999999999999
142,204256494,0.503,3.2889999999999997,0.544
94,203928175,-0.664,4.386,0.5429999999999999
121,203995761,0.674,5.102,0.531
112,203956650,0.24100000000000002,0.6759999999999999,0.531
199,204776782,0.019,1.923,0.529
49,203843009,0.6920000000000001,1.351,0.528
23,203712588,0.519,3.2889999999999997,0.526
146,204277211,-0.14300000000000002,2.551,0.517
93,203927902,0.585,0.693,0.498
16,203559274,0.555,1.838,0.498
98,203933268,0.349,2.381,0.48700000000000004
18,203649927,-0.386,2.6319999999999997,0.48100000000000004
165,204409463,0.109,1.761,0.47100000000000003
192,204630363,-0.069,6.579,0.47100000000000003
138,204239132,-0.034,4.237,0.466
188,204584778,-0.136,1.736,0.465
129,204160652,-0.20199999999999999,2.8089999999999997,0.465
193,204637622,0.026000000000000002,1.05,0.46299999999999997
166,204413641,-0.033,1.969,0.462
115,203969721,0.07200000000000001,3.378,0.451
273,204206295,0.34600000000000003,14.706,0.45
34,203789325,0.057,1.2819999999999998,0.434
28,203770366,0.469,1.8119999999999998,0.41700000000000004
56,203851860,0.073,3.5210000000000004,0.41700000000000004
198,204769599,-0.027000000000000003,1.645,0.41700000000000004
86,203915424,-0.06,2.8739999999999997,0.41700000000000004
265,204268916,-0.475,1.7480000000000002,0.41600000000000004
128,204147776,0.11199999999999999,1.724,0.415
168,204434363,-0.259,1.5919999999999999,0.414
284,204397879,0.318,3.676,0.39399999999999996
55,203850605,-0.14400000000000002,3.906,0.382
71,203887087,0.96,6.757000000000001,0.381
22,203710077,-0.107,3.7310000000000003,0.37799999999999995
14,203465909,0.198,3.7880000000000003,0.37
82,203905980,-0.28600000000000003,1.8940000000000001,0.36200000000000004
207,204860656,0.015,1.9080000000000001,0.34700000000000003
29,203770559,0.321,12.5,0.336
227,205051240,0.324,5.319,0.332
143,204262368,-0.091,1.8659999999999999,0.324
13,203440253,0.29,6.757000000000001,0.316
103,203938167,-0.057,1.6130000000000002,0.31
205,204832936,0.221,4.237,0.307
50,203843911,0.09699999999999999,8.929,0.306
229,205063210,-0.042,2.427,0.304
47,203837701,-0.057999999999999996,2.6319999999999997,0.303
